src	count	type	dst	words
q'	0	replace	qʼ	
k'	0	replace	kʼ	
c'	0	replace	cʼ	
t'	0	replace	tʼ	
č'	0	replace	t͡ʃʼ	
p'	0	replace	pʼ	
A	22	replace	a	Abdulla A Allaχ, Azerbajǯana Azerbajǯan, Awalais Azerbajǯana, Allahara Awalaj Abdullara A? Allahad Awalajdɨ Abdullas
B	2	replace	b	Babaj
D	3	replace	d	Darsbɨr Daɣistande Daʁɨstandɨ
E	2	replace	e	Edemiela Eto
H	17	replace	h	Haj, Hawalaj Ha Habiše Hej Haila Hada Hej, Hanuwa Haj Hajeʔdɨ
I	9	replace	i	I Iχdɨ Iχdɨletbɨr Iitxujne Idɨlʲ-adxa, Ilad Ibram
J	3	replace	j	Jena Jes Jiz
K	10	replace	k	Kusuraʔa Kašir K'ɨb Kurban-bajram Kusura
L	1	replace	l	Liwir
M	22	replace	m	Mirzaχaɨs, Mi Mɨˤχadila Minowa Musurman Mid Maˁhaˁmaˁd Mirzaχan Mibɨr Mixdaba Magaldɨ Mɨˤχa Mɨˤχaa Mɨˤχabišdɨ Miχri ɢM Minow
N	8	replace	n	Nowgorodde Nikolajdɨ Nizir-baba, Nikolaj Nikalaj Nik'alaj
O	1	replace	o	Oktjabrь
P	1	replace	p	Pejʁambar
R	43	replace	ʁ	xeR\i-lera Reč'ur geRira\?g ma|Rʷ, eRidxur Raguga Ramazan jaRmiškilšimb\i-r jaRmišdaʔara Rargʷar\i-ma geRerč'us qudRuga Ramazana RurRa hemiRiRad\i-jex\i-r Ra [R Ra\?g geRilera im[R]
С	1	replace	s	Сetχɨr=xwa
S	13	replace	s	Sada Siftäd Stroitelnɨj Sa Su Saq'ɨˤne Siftä Sawaχtindi Sɨwɨmɨlaχud Salman
T	2	replace	t	Tɨ Ti
U	6	replace	u	Ustala? dUtmiš Ušla Uraza-bajram, Uslowno
V	1	replace	v	Vilikiy
W	5	replace	w	We uxurxWa Wali-baba Waʔ. Wad
ǯ	368	replace	d͡ʒ	ǯigɨj ǯiwɨlcadijden juǯur ǯis iǯlasde ǯɨhil ǯɨžɨtʼi dajjanaǯaɣ ǯamaˤʔatis ǯaˤmaaˤtikʷan ǯihileše juǯurna qapǯej, ǯudɨ juǯ... jüǯür ǯudubɨr. ülǯümed ǯula ǯac'ad ǯɨʔɨtʼi ǯišira juǯ ǯazɨ ǯigijadɨbɨr ǯuu, beǯed ǯalgɨr, iǯilas xaǯaladxa ǯukan, ǯilǯilim, riǯi ǯigij, guǯe-guǯ saǯirkar ǯɨgad, giǯiq'ɨd ǯigɨj: ǯibra ǯamaʔadid q'eqǯikɨr ǯɨwɨra ǯukʷan a|ǯizd\i- ǯigabɨr ǯamaat kiǯikad ǯixil ǯamaˤʔatid ǯibra... guǯa-guǯ üǯ ǯus χuǯutkur ǯükla uǯar ǯilis, jiǯdɨ ǯukan juǯudɨ [ǯi...] [ǯudɨ] ǯiwɨraxa beǯ ǯu ǯendida uǯuʁdɨ ǯamaʔatis ǯɨwɨr. giǯirxɨne jüǯ ǯan ʁɨˁrǯ ǯuldɨkaldɨbɨr ǯibraqud maǯlis ǯudu eǯwixɨra ǯüda χuǯudkur ǯibraa ǯihiler χakǯaq'ɨrijden ǯiga iǯilasda ǯaˤmaaˤt ʁaǯagujne. giǯirxara, jiǯ ǯaˤmaaˤtid sičuǯun hajǯan ǯuduxa ǯagʷardɨ ǯike ǯuʔu ǯins ǯaˤmaaˤtira ǯuldɨ guǯekan haǯi ǯuu riǯ ǯič'edira ǯuda ǯišir ǯi gezilbenǯir ǯiršir meneǯir gʲaǯarhɨr geʁǯedqud qiǯirq'ɨr ǯubed ǯiddɨ iǯlas ǯigij mičǯigɨjekla ǯamaˤʔatira Azerbajǯan, ǯac'adilaquʔ ǯesuqwaj, ǯuʁuˁra maǯbɨr ǯinad juǯ, ǯa ǯigɨj, ǯudu. ǯugʷalbɨr ǯac'abiše ǯusu ǯinaše keǯibra jjuǯ azerbajǯan ǯʷer beǯna ǯuχda ǯip kiǯikad, ǯɨgɨj, ǯamattira ǯanaj Azerbajǯana, ǯihil ǯibrädɨ wiǯ ǯamaʔad ǯigɨj. ǯʷerxʷa ǯigɨ ǯehilešdɨ, ǯura haǯargʷad, ǯin ǯud\i- Azerbajǯana giǯirxara ǯamaˁʔatijera kiǯɨxɨˁd usturuǯwali ǯipkal ǯuhüra uǯaʁ ǯɨwɨr риǯ ǯar mɨrǯi ǯijnašdɨ toǯe ǯuˤura ǯɨɨr ǯüduχud ǯilɨs, ǯidɨ ǯišijne juǯxa xibarǯiken ǯurad giǯ.
G	17	replace	ɢ	GačaX Guruwuruurij Gaq' Gačax G\i-r\i-c' Gačaxwald\i- Gala gʲaGa Garijera Gruzinara gʲaG\i-r GačaXad gʲaraG
γ	4	replace	ɣ	wɨγliraxa wɨγlira wɨγlešis wɨγɨl
ö	5	replace	ø	kulönka wsö kulönkaja qʼöölmɨ
